Year,Quintile,Income,Race,Dollar
1991,Fourth fifth,35060,Hispanic,Nominal
1991,Highest fifth,67180,Hispanic,Nominal
1991,Top 5 percent,102400,Hispanic,Nominal
1990,Lowest fifth,5618,Hispanic,Nominal
1990,Second fifth,13240,Hispanic,Nominal
1990,Middle fifth,22280,Hispanic,Nominal
1990,Fourth fifth,33920,Hispanic,Nominal
1990,Highest fifth,64800,Hispanic,Nominal
1990,Top 5 percent,100200,Hispanic,Nominal
1989,Lowest fifth,5199,Hispanic,Nominal
1989,Second fifth,13360,Hispanic,Nominal
1989,Middle fifth,22040,Hispanic,Nominal
1989,Fourth fifth,34160,Hispanic,Nominal
1989,Highest fifth,65190,Hispanic,Nominal
1989,Top 5 percent,101600,Hispanic,Nominal
1988,Lowest fifth,4743,Hispanic,Nominal
1988,Second fifth,12130,Hispanic,Nominal
1988,Middle fifth,20310,Hispanic,Nominal
1988,Fourth fifth,31400,Hispanic,Nominal
1988,Highest fifth,61380,Hispanic,Nominal
1988,Top 5 percent,98620,Hispanic,Nominal
1987,Lowest fifth,4581,Hispanic,Nominal
1987,Second fifth,11330,Hispanic,Nominal
1987,Middle fifth,19150,Hispanic,Nominal
1987,Fourth fifth,29820,Hispanic,Nominal
1987,Highest fifth,59050,Hispanic,Nominal
1987,Top 5 percent,95250,Hispanic,Nominal
1986,Lowest fifth,4487,Hispanic,Nominal
1986,Second fifth,10960,Hispanic,Nominal
1986,Middle fifth,18330,Hispanic,Nominal
1986,Fourth fifth,28700,Hispanic,Nominal
1986,Highest fifth,53390,Hispanic,Nominal
1986,Top 5 percent,78190,Hispanic,Nominal
1985,Lowest fifth,4478,Hispanic,Nominal
1985,Second fifth,10310,Hispanic,Nominal
1985,Middle fifth,17520,Hispanic,Nominal
1985,Fourth fifth,27010,Hispanic,Nominal
1985,Highest fifth,49810,Hispanic,Nominal
1985,Top 5 percent,72470,Hispanic,Nominal
1984,Lowest fifth,4093,Hispanic,Nominal
1984,Second fifth,10050,Hispanic,Nominal
1984,Middle fifth,17090,Hispanic,Nominal
1984,Fourth fifth,26320,Hispanic,Nominal
1984,Highest fifth,48100,Hispanic,Nominal
1984,Top 5 percent,71420,Hispanic,Nominal
1983,Lowest fifth,3984,Hispanic,Nominal
1983,Second fifth,9330,Hispanic,Nominal
1983,Middle fifth,15760,Hispanic,Nominal
1983,Fourth fifth,23960,Hispanic,Nominal
1983,Highest fifth,43690,Hispanic,Nominal
1983,Top 5 percent,63270,Hispanic,Nominal
1982,Lowest fifth,3872,Hispanic,Nominal
1982,Second fifth,9001,Hispanic,Nominal
1982,Middle fifth,15100,Hispanic,Nominal
1982,Fourth fifth,23060,Hispanic,Nominal
1982,Highest fifth,42620,Hispanic,Nominal
1982,Top 5 percent,63560,Hispanic,Nominal
1981,Lowest fifth,4009,Hispanic,Nominal
1981,Second fifth,9419,Hispanic,Nominal
1981,Middle fifth,15300,Hispanic,Nominal
1981,Fourth fifth,22710,Hispanic,Nominal
1981,Highest fifth,40430,Hispanic,Nominal
1981,Top 5 percent,58610,Hispanic,Nominal
1980,Lowest fifth,3545,Hispanic,Nominal
1980,Second fifth,8459,Hispanic,Nominal
1980,Middle fifth,13640,Hispanic,Nominal
1980,Fourth fifth,20640,Hispanic,Nominal
1980,Highest fifth,37090,Hispanic,Nominal
1980,Top 5 percent,54910,Hispanic,Nominal
1979,Lowest fifth,3523,Hispanic,Nominal
1979,Second fifth,8275,Hispanic,Nominal
1979,Middle fifth,13070,Hispanic,Nominal
1979,Fourth fifth,19340,Hispanic,Nominal
1979,Highest fifth,34690,Hispanic,Nominal
1979,Top 5 percent,51410,Hispanic,Nominal
1978,Lowest fifth,3251,Hispanic,Nominal
1978,Second fifth,7464,Hispanic,Nominal
1978,Middle fifth,11760,Hispanic,Nominal
1978,Fourth fifth,17370,Hispanic,Nominal
1978,Highest fifth,29870,Hispanic,Nominal
1978,Top 5 percent,43210,Hispanic,Nominal
1977,Lowest fifth,3050,Hispanic,Nominal
1977,Second fifth,6749,Hispanic,Nominal
1977,Middle fifth,10590,Hispanic,Nominal
1977,Fourth fifth,15470,Hispanic,Nominal
1977,Highest fifth,26960,Hispanic,Nominal
1977,Top 5 percent,39170,Hispanic,Nominal
1976,Lowest fifth,2652,Hispanic,Nominal
1976,Second fifth,5896,Hispanic,Nominal
1976,Middle fifth,9516,Hispanic,Nominal
1976,Fourth fifth,14190,Hispanic,Nominal
1976,Highest fifth,24290,Hispanic,Nominal
1976,Top 5 percent,34880,Hispanic,Nominal
1975,Lowest fifth,2447,Hispanic,Nominal
1975,Second fifth,5587,Hispanic,Nominal
1975,Middle fifth,8845,Hispanic,Nominal
1975,Fourth fifth,13060,Hispanic,Nominal
1975,Highest fifth,22680,Hispanic,Nominal
1975,Top 5 percent,33970,Hispanic,Nominal
1974,Lowest fifth,2619,Hispanic,Nominal
1974,Second fifth,5605,Hispanic,Nominal
1974,Middle fifth,8836,Hispanic,Nominal
1974,Fourth fifth,12730,Hispanic,Nominal
1974,Highest fifth,21800,Hispanic,Nominal
1974,Top 5 percent,31850,Hispanic,Nominal
1973,Lowest fifth,2396,Hispanic,Nominal
1973,Second fifth,5351,Hispanic,Nominal
1973,Middle fifth,8173,Hispanic,Nominal
1973,Fourth fifth,11790,Hispanic,Nominal
1973,Highest fifth,19560,Hispanic,Nominal
1973,Top 5 percent,27850,Hispanic,Nominal
1972,Lowest fifth,2296,Hispanic,Nominal
1972,Second fifth,4886,Hispanic,Nominal
1972,Middle fifth,7524,Hispanic,Nominal
1972,Fourth fifth,10500,Hispanic,Nominal
1972,Highest fifth,18500,Hispanic,Nominal
1972,Top 5 percent,28280,Hispanic,Nominal
2022,Lowest fifth,10550,Black,Nominal
2022,Second fifth,31280,Black,Nominal
2022,Middle fifth,53790,Black,Nominal
2022,Fourth fifth,86240,Black,Nominal
2022,Highest fifth,203900,Black,Nominal
2022,Top 5 percent,363500,Black,Nominal
2021,Lowest fifth,9316,Black,Nominal
2021,Second fifth,27610,Black,Nominal
2021,Middle fifth,48800,Black,Nominal
2021,Fourth fifth,80430,Black,Nominal
2021,Highest fifth,191500,Black,Nominal
2021,Top 5 percent,338600,Black,Nominal
2020,Lowest fifth,8327,Black,Nominal
2020,Second fifth,25890,Black,Nominal
2020,Middle fifth,46710,Black,Nominal
2020,Fourth fifth,76850,Black,Nominal
2020,Highest fifth,186800,Black,Nominal
2020,Top 5 percent,346900,Black,Nominal
2019,Lowest fifth,8884,Black,Nominal
2019,Second fifth,26030,Black,Nominal
2019,Middle fifth,46000,Black,Nominal
2019,Fourth fifth,76370,Black,Nominal
2019,Highest fifth,182300,Black,Nominal
2019,Top 5 percent,325900,Black,Nominal
2018,Lowest fifth,7686,Black,Nominal
2018,Second fifth,23520,Black,Nominal
2018,Middle fifth,41840,Black,Nominal
2018,Fourth fifth,68950,Black,Nominal
2018,Highest fifth,154800,Black,Nominal
2018,Top 5 percent,255300,Black,Nominal
2017,Lowest fifth,7686,Black,Nominal
2017,Second fifth,23520,Black,Nominal
2017,Middle fifth,41840,Black,Nominal
2017,Fourth fifth,68950,Black,Nominal
2017,Highest fifth,154800,Black,Nominal
2017,Top 5 percent,255300,Black,Nominal
2016,Lowest fifth,7495,Black,Nominal
2016,Second fifth,22300,Black,Nominal
2016,Middle fifth,39790,Black,Nominal
2016,Fourth fifth,65920,Black,Nominal
2016,Highest fifth,155100,Black,Nominal
2016,Top 5 percent,280800,Black,Nominal
2015,Lowest fifth,7044,Black,Nominal
2015,Second fifth,20740,Black,Nominal
2015,Middle fifth,37540,Black,Nominal
2015,Fourth fifth,63000,Black,Nominal
2015,Highest fifth,145700,Black,Nominal
2015,Top 5 percent,256200,Black,Nominal
2014,Lowest fifth,6755,Black,Nominal
2014,Second fifth,20030,Black,Nominal
2014,Middle fifth,35630,Black,Nominal
2014,Fourth fifth,59090,Black,Nominal
2014,Highest fifth,136600,Black,Nominal
2014,Top 5 percent,232900,Black,Nominal
2013,Lowest fifth,6884.5,Black,Nominal
2013,Second fifth,19775,Black,Nominal
2013,Middle fifth,35175,Black,Nominal
2013,Fourth fifth,57680,Black,Nominal
2013,Highest fifth,133900,Black,Nominal
2013,Top 5 percent,229450,Black,Nominal
2012,Lowest fifth,6619,Black,Nominal
2012,Second fifth,18770,Black,Nominal
2012,Middle fifth,33880,Black,Nominal
2012,Fourth fifth,56620,Black,Nominal
2012,Highest fifth,124900,Black,Nominal
2012,Top 5 percent,207400,Black,Nominal
2011,Lowest fifth,6263,Black,Nominal
2011,Second fifth,17830,Black,Nominal
2011,Middle fifth,32630,Black,Nominal
2011,Fourth fifth,55230,Black,Nominal
2011,Highest fifth,125600,Black,Nominal
2011,Top 5 percent,216200,Black,Nominal
2010,Lowest fifth,5979,Black,Nominal
2010,Second fifth,17830,Black,Nominal
2010,Middle fifth,32300,Black,Nominal
2010,Fourth fifth,53700,Black,Nominal
2010,Highest fifth,117700,Black,Nominal
2010,Top 5 percent,195700,Black,Nominal
2009,Lowest fifth,6675,Black,Nominal
2009,Second fifth,18970,Black,Nominal
2009,Middle fifth,33070,Black,Nominal
2009,Fourth fifth,54420,Black,Nominal
2009,Highest fifth,118300,Black,Nominal
2009,Top 5 percent,199400,Black,Nominal
2008,Lowest fifth,6893,Black,Nominal
2008,Second fifth,19670,Black,Nominal
2008,Middle fifth,34100,Black,Nominal
2008,Fourth fifth,54790,Black,Nominal
2008,Highest fifth,117900,Black,Nominal
2008,Top 5 percent,192700,Black,Nominal
2007,Lowest fifth,6618,Black,Nominal
2007,Second fifth,18890,Black,Nominal
2007,Middle fifth,34060,Black,Nominal
2007,Fourth fifth,55560,Black,Nominal
2007,Highest fifth,119000,Black,Nominal
2007,Top 5 percent,198200,Black,Nominal
2006,Lowest fifth,6317,Black,Nominal
2006,Second fifth,18440,Black,Nominal
2006,Middle fifth,32580,Black,Nominal
2006,Fourth fifth,52790,Black,Nominal
2006,Highest fifth,117300,Black,Nominal
2006,Top 5 percent,200700,Black,Nominal
2005,Lowest fifth,6007,Black,Nominal
2005,Second fifth,17150,Black,Nominal
2005,Middle fifth,30920,Black,Nominal
2005,Fourth fifth,50570,Black,Nominal
2005,Highest fifth,109000,Black,Nominal
2005,Top 5 percent,181900,Black,Nominal
2004,Lowest fifth,5652,Black,Nominal
2004,Second fifth,16970,Black,Nominal
2004,Middle fifth,29900,Black,Nominal
2004,Fourth fifth,48630,Black,Nominal
2004,Highest fifth,102600,Black,Nominal
2004,Top 5 percent,169100,Black,Nominal
2003,Lowest fifth,5873,Black,Nominal
2003,Second fifth,16550,Black,Nominal
2003,Middle fifth,29610,Black,Nominal
2003,Fourth fifth,48340,Black,Nominal
2003,Highest fifth,101200,Black,Nominal
2003,Top 5 percent,163700,Black,Nominal
2002,Lowest fifth,5797,Black,Nominal
2002,Second fifth,16410,Black,Nominal
2002,Middle fifth,29090,Black,Nominal
2002,Fourth fifth,46840,Black,Nominal
2002,Highest fifth,103500,Black,Nominal
2002,Top 5 percent,176300,Black,Nominal
2001,Lowest fifth,5951,Black,Nominal
2001,Second fifth,16820,Black,Nominal
2001,Middle fifth,29480,Black,Nominal
2001,Fourth fifth,47420,Black,Nominal
2001,Highest fifth,96570,Black,Nominal
2001,Top 5 percent,155100,Black,Nominal
2000,Lowest fifth,6216,Black,Nominal
2000,Second fifth,17130,Black,Nominal
2000,Middle fifth,29600,Black,Nominal
2000,Fourth fifth,46990,Black,Nominal
2000,Highest fifth,95970,Black,Nominal
2000,Top 5 percent,153600,Black,Nominal
1999,Lowest fifth,5897,Black,Nominal
1999,Second fifth,15860,Black,Nominal
1999,Middle fifth,28170,Black,Nominal
1999,Fourth fifth,46140,Black,Nominal
1999,Highest fifth,96240,Black,Nominal
1999,Top 5 percent,153700,Black,Nominal
1998,Lowest fifth,5194,Black,Nominal
1998,Second fifth,14040,Black,Nominal
1998,Middle fifth,25260,Black,Nominal
1998,Fourth fifth,41670,Black,Nominal
1998,Highest fifth,84530,Black,Nominal
1998,Top 5 percent,130400,Black,Nominal
1997,Lowest fifth,5253,Black,Nominal
1997,Second fifth,13980,Black,Nominal
1997,Middle fifth,24940,Black,Nominal
1997,Fourth fifth,40420,Black,Nominal
1997,Highest fifth,80230,Black,Nominal
1997,Top 5 percent,125900,Black,Nominal
1996,Lowest fifth,5048,Black,Nominal
1996,Second fifth,13000,Black,Nominal
1996,Middle fifth,23450,Black,Nominal
1996,Fourth fifth,38470,Black,Nominal
1996,Highest fifth,82330,Black,Nominal
1996,Top 5 percent,141000,Black,Nominal
1995,Lowest fifth,4814,Black,Nominal
1995,Second fifth,12470,Black,Nominal
1995,Middle fifth,22540,Black,Nominal
1995,Fourth fifth,36710,Black,Nominal
1995,Highest fifth,75460,Black,Nominal
1995,Top 5 percent,122600,Black,Nominal
1994,Lowest fifth,4421,Black,Nominal
1994,Second fifth,11490,Black,Nominal
1994,Middle fifth,20990,Black,Nominal
1994,Fourth fifth,35540,Black,Nominal
1994,Highest fifth,73860,Black,Nominal
1994,Top 5 percent,117400,Black,Nominal
1993,Lowest fifth,4118,Black,Nominal
1993,Second fifth,10410,Black,Nominal
1993,Middle fifth,19480,Black,Nominal
1993,Fourth fifth,32270,Black,Nominal
1993,Highest fifth,69860,Black,Nominal
1993,Top 5 percent,114600,Black,Nominal
1992,Lowest fifth,3907,Black,Nominal
1992,Second fifth,9901,Black,Nominal
1992,Middle fifth,18710,Black,Nominal
1992,Fourth fifth,31520,Black,Nominal
1992,Highest fifth,63210,Black,Nominal
1992,Top 5 percent,97430,Black,Nominal
1991,Lowest fifth,3841,Black,Nominal
1991,Second fifth,9823,Black,Nominal
1991,Middle fifth,18820,Black,Nominal
1991,Fourth fifth,31520,Black,Nominal
1991,Highest fifth,61210,Black,Nominal
1991,Top 5 percent,91890,Black,Nominal
1990,Lowest fifth,3823,Black,Nominal
1990,Second fifth,9758,Black,Nominal
1990,Middle fifth,18650,Black,Nominal
1990,Fourth fifth,31090,Black,Nominal
1990,Highest fifth,60750,Black,Nominal
1990,Top 5 percent,91900,Black,Nominal
1989,Lowest fifth,3785,Black,Nominal
1989,Second fifth,9596,Black,Nominal
1989,Middle fifth,18040,Black,Nominal
1989,Fourth fifth,29880,Black,Nominal
1989,Highest fifth,58680,Black,Nominal
1989,Top 5 percent,87280,Black,Nominal
1988,Lowest fifth,3645,Black,Nominal
1988,Second fifth,8703,Black,Nominal
1988,Middle fifth,16390,Black,Nominal
1988,Fourth fifth,27750,Black,Nominal
1988,Highest fifth,55900,Black,Nominal
1988,Top 5 percent,84190,Black,Nominal
1987,Lowest fifth,3434,Black,Nominal
1987,Second fifth,8313,Black,Nominal
1987,Middle fifth,15650,Black,Nominal
1987,Fourth fifth,25800,Black,Nominal
1987,Highest fifth,52610,Black,Nominal
1987,Top 5 percent,81460,Black,Nominal
1986,Lowest fifth,3128,Black,Nominal
1986,Second fifth,8068,Black,Nominal
1986,Middle fifth,15100,Black,Nominal
1986,Fourth fifth,25270,Black,Nominal
1986,Highest fifth,49590,Black,Nominal
1986,Top 5 percent,75370,Black,Nominal
1985,Lowest fifth,3379,Black,Nominal
1985,Second fifth,8061,Black,Nominal
1985,Middle fifth,14660,Black,Nominal
1985,Fourth fifth,24120,Black,Nominal
1985,Highest fifth,46450,Black,Nominal
1985,Top 5 percent,68090,Black,Nominal
1984,Lowest fifth,3205,Black,Nominal
1984,Second fifth,7548,Black,Nominal
1984,Middle fifth,13440,Black,Nominal
1984,Fourth fifth,22200,Black,Nominal
1984,Highest fifth,43440,Black,Nominal
1984,Top 5 percent,63110,Black,Nominal
1983,Lowest fifth,2923,Black,Nominal
1983,Second fifth,6906,Black,Nominal
1983,Middle fifth,12570,Black,Nominal
1983,Fourth fifth,20870,Black,Nominal
1983,Highest fifth,39800,Black,Nominal
1983,Top 5 percent,56830,Black,Nominal
1982,Lowest fifth,2810,Black,Nominal
1982,Second fifth,6742,Black,Nominal
1982,Middle fifth,12060,Black,Nominal
1982,Fourth fifth,20060,Black,Nominal
1982,Highest fifth,37070,Black,Nominal
1982,Top 5 percent,53960,Black,Nominal
1981,Lowest fifth,2727,Black,Nominal
1981,Second fifth,6342,Black,Nominal
1981,Middle fifth,11300,Black,Nominal
1981,Fourth fifth,18780,Black,Nominal
1981,Highest fifth,35130,Black,Nominal
1981,Top 5 percent,49420,Black,Nominal
1980,Lowest fifth,2574,Black,Nominal
1980,Second fifth,6047,Black,Nominal
1980,Middle fifth,10710,Black,Nominal
1980,Fourth fifth,17620,Black,Nominal
1980,Highest fifth,32890,Black,Nominal
1980,Top 5 percent,47180,Black,Nominal
1979,Lowest fifth,2457,Black,Nominal
1979,Second fifth,5723,Black,Nominal
1979,Middle fifth,10070,Black,Nominal
1979,Fourth fifth,16480,Black,Nominal
1979,Highest fifth,30280,Black,Nominal
1979,Top 5 percent,42980,Black,Nominal
1978,Lowest fifth,2352,Black,Nominal
1978,Second fifth,5245,Black,Nominal
1978,Middle fifth,9391,Black,Nominal
1978,Fourth fifth,15210,Black,Nominal
1978,Highest fifth,27940,Black,Nominal
1978,Top 5 percent,39750,Black,Nominal
1977,Lowest fifth,2235,Black,Nominal
1977,Second fifth,4940,Black,Nominal
1977,Middle fifth,8355,Black,Nominal
1977,Fourth fifth,13420,Black,Nominal
1977,Highest fifth,25010,Black,Nominal
1977,Top 5 percent,36220,Black,Nominal
1976,Lowest fifth,2077,Black,Nominal
1976,Second fifth,4601,Black,Nominal
1976,Middle fifth,7935,Black,Nominal
1976,Fourth fifth,12830,Black,Nominal
1976,Highest fifth,23040,Black,Nominal
1976,Top 5 percent,33020,Black,Nominal
1975,Lowest fifth,1908,Black,Nominal
1975,Second fifth,4182,Black,Nominal
1975,Middle fifth,7386,Black,Nominal
1975,Fourth fifth,11780,Black,Nominal
1975,Highest fifth,20990,Black,Nominal
1975,Top 5 percent,29580,Black,Nominal
1974,Lowest fifth,1802,Black,Nominal
1974,Second fifth,4075,Black,Nominal
1974,Middle fifth,6986,Black,Nominal
1974,Fourth fifth,10890,Black,Nominal
1974,Highest fifth,19550,Black,Nominal
1974,Top 5 percent,27400,Black,Nominal
1973,Lowest fifth,1650,Black,Nominal
1973,Second fifth,3811,Black,Nominal
1973,Middle fifth,6536,Black,Nominal
1973,Fourth fifth,10280,Black,Nominal
1973,Highest fifth,18680,Black,Nominal
1973,Top 5 percent,27610,Black,Nominal
1972,Lowest fifth,1471,Black,Nominal
1972,Second fifth,3438,Black,Nominal
1972,Middle fifth,5921,Black,Nominal
1972,Fourth fifth,9345,Black,Nominal
1972,Highest fifth,17330,Black,Nominal
1972,Top 5 percent,25280,Black,Nominal
1971,Lowest fifth,1367,Black,Nominal
1971,Second fifth,3232,Black,Nominal
1971,Middle fifth,5580,Black,Nominal
1971,Fourth fifth,8677,Black,Nominal
1971,Highest fifth,15710,Black,Nominal
1971,Top 5 percent,22650,Black,Nominal
1970,Lowest fifth,1250,Black,Nominal
1970,Second fifth,3163,Black,Nominal
1970,Middle fifth,5498,Black,Nominal
1970,Fourth fifth,8520,Black,Nominal
1970,Highest fifth,15390,Black,Nominal
1970,Top 5 percent,22190,Black,Nominal
1969,Lowest fifth,1226,Black,Nominal
1969,Second fifth,3052,Black,Nominal
1969,Middle fifth,5183,Black,Nominal
1969,Fourth fifth,7878,Black,Nominal
1969,Highest fifth,13990,Black,Nominal
1969,Top 5 percent,19950,Black,Nominal
1968,Lowest fifth,1146,Black,Nominal
1968,Second fifth,2830,Black,Nominal
1968,Middle fifth,4712,Black,Nominal
1968,Fourth fifth,7274,Black,Nominal
1968,Highest fifth,12990,Black,Nominal
1968,Top 5 percent,18440,Black,Nominal
1967,Lowest fifth,1018,Black,Nominal
1967,Second fifth,2506,Black,Nominal
1967,Middle fifth,4296,Black,Nominal
1967,Fourth fifth,6567,Black,Nominal
1967,Highest fifth,12610,Black,Nominal
1967,Top 5 percent,19630,Black,Nominal
2022,Lowest fifth,20380,Asian,Nominal
2022,Second fifth,63240,Asian,Nominal
2022,Middle fifth,108800,Asian,Nominal
2022,Fourth fifth,170200,Asian,Nominal
2022,Highest fifth,375800,Asian,Nominal
2022,Top 5 percent,646300,Asian,Nominal
2021,Lowest fifth,18200,Asian,Nominal
2021,Second fifth,57340,Asian,Nominal
2021,Middle fifth,100400,Asian,Nominal
2021,Fourth fifth,161100,Asian,Nominal
2021,Highest fifth,351800,Asian,Nominal
2021,Top 5 percent,615900,Asian,Nominal
2020,Lowest fifth,19090,Asian,Nominal
2020,Second fifth,55030,Asian,Nominal
2020,Middle fifth,95780,Asian,Nominal
2020,Fourth fifth,156900,Asian,Nominal
2020,Highest fifth,333900,Asian,Nominal
2020,Top 5 percent,546100,Asian,Nominal
2019,Lowest fifth,20880,Asian,Nominal
2019,Second fifth,58190,Asian,Nominal
2019,Middle fifth,97720,Asian,Nominal
2019,Fourth fifth,152100,Asian,Nominal
2019,Highest fifth,329300,Asian,Nominal
2019,Top 5 percent,569900,Asian,Nominal
2018,Lowest fifth,16500,Asian,Nominal
2018,Second fifth,50390,Asian,Nominal
2018,Middle fifth,87070,Asian,Nominal
2018,Fourth fifth,137300,Asian,Nominal
2018,Highest fifth,303300,Asian,Nominal
2018,Top 5 percent,519300,Asian,Nominal
2017,Lowest fifth,16500,Asian,Nominal
2017,Second fifth,50390,Asian,Nominal
2017,Middle fifth,87070,Asian,Nominal
2017,Fourth fifth,137300,Asian,Nominal
2017,Highest fifth,303300,Asian,Nominal
2017,Top 5 percent,519300,Asian,Nominal
2016,Lowest fifth,15830,Asian,Nominal
2016,Second fifth,47820,Asian,Nominal
2016,Middle fifth,81180,Asian,Nominal
2016,Fourth fifth,128200,Asian,Nominal
2016,Highest fifth,261400,Asian,Nominal
2016,Top 5 percent,434400,Asian,Nominal
2015,Lowest fifth,14120,Asian,Nominal
2015,Second fifth,44700,Asian,Nominal
2015,Middle fifth,77140,Asian,Nominal
2015,Fourth fifth,124000,Asian,Nominal
2015,Highest fifth,265700,Asian,Nominal
2015,Top 5 percent,458200,Asian,Nominal
2014,Lowest fifth,14340,Asian,Nominal
2014,Second fifth,42670,Asian,Nominal
2014,Middle fifth,74820,Asian,Nominal
2014,Fourth fifth,118200,Asian,Nominal
2014,Highest fifth,240700,Asian,Nominal
2014,Top 5 percent,403300,Asian,Nominal
2013,Lowest fifth,13220,Asian,Nominal
2013,Second fifth,41355,Asian,Nominal
2013,Middle fifth,70400,Asian,Nominal
2013,Fourth fifth,110900,Asian,Nominal
2013,Highest fifth,245100,Asian,Nominal
2013,Top 5 percent,430600,Asian,Nominal
2012,Lowest fifth,13650,Asian,Nominal
2012,Second fifth,40850,Asian,Nominal
2012,Middle fifth,68400,Asian,Nominal
2012,Fourth fifth,108000,Asian,Nominal
2012,Highest fifth,227600,Asian,Nominal
2012,Top 5 percent,381700,Asian,Nominal
2011,Lowest fifth,12760,Asian,Nominal
2011,Second fifth,37450,Asian,Nominal
2011,Middle fifth,64950,Asian,Nominal
2011,Fourth fifth,100800,Asian,Nominal
2011,Highest fifth,213000,Asian,Nominal
2011,Top 5 percent,366800,Asian,Nominal
2010,Lowest fifth,12580,Asian,Nominal
2010,Second fifth,37380,Asian,Nominal
2010,Middle fifth,63930,Asian,Nominal
2010,Fourth fifth,102500,Asian,Nominal
2010,Highest fifth,202100,Asian,Nominal
2010,Top 5 percent,317900,Asian,Nominal
2009,Lowest fifth,12170,Asian,Nominal
2009,Second fifth,37120,Asian,Nominal
2009,Middle fifth,64990,Asian,Nominal
2009,Fourth fifth,103900,Asian,Nominal
2009,Highest fifth,232400,Asian,Nominal
2009,Top 5 percent,423700,Asian,Nominal
2008,Lowest fifth,12470,Asian,Nominal
2008,Second fifth,36950,Asian,Nominal
2008,Middle fifth,65350,Asian,Nominal
2008,Fourth fifth,103900,Asian,Nominal
2008,Highest fifth,212900,Asian,Nominal
2008,Top 5 percent,362000,Asian,Nominal
2007,Lowest fifth,13240,Asian,Nominal
2007,Second fifth,38900,Asian,Nominal
2007,Middle fifth,66170,Asian,Nominal
2007,Fourth fifth,101300,Asian,Nominal
2007,Highest fifth,203200,Asian,Nominal
2007,Top 5 percent,338600,Asian,Nominal
2006,Lowest fifth,13720,Asian,Nominal
2006,Second fifth,38600,Asian,Nominal
2006,Middle fifth,64240,Asian,Nominal
2006,Fourth fifth,100700,Asian,Nominal
2006,Highest fifth,220400,Asian,Nominal
2006,Top 5 percent,411300,Asian,Nominal
2005,Lowest fifth,11780,Asian,Nominal
2005,Second fifth,36750,Asian,Nominal
2005,Middle fifth,61200,Asian,Nominal
2005,Fourth fifth,94750,Asian,Nominal
2005,Highest fifth,195500,Asian,Nominal
2005,Top 5 percent,324100,Asian,Nominal
2004,Lowest fifth,12120,Asian,Nominal
2004,Second fifth,34950,Asian,Nominal
2004,Middle fifth,57660,Asian,Nominal
2004,Fourth fifth,88810,Asian,Nominal
2004,Highest fifth,187100,Asian,Nominal
2004,Top 5 percent,327700,Asian,Nominal
2003,Lowest fifth,9336,Asian,Nominal
2003,Second fifth,31490,Asian,Nominal
2003,Middle fifth,55100,Asian,Nominal
2003,Fourth fifth,85240,Asian,Nominal
2003,Highest fifth,165900,Asian,Nominal
2003,Top 5 percent,262800,Asian,Nominal
2002,Lowest fifth,11380,Asian,Nominal
2002,Second fifth,31740,Asian,Nominal
2002,Middle fifth,52780,Asian,Nominal
2002,Fourth fifth,82570,Asian,Nominal
2002,Highest fifth,168900,Asian,Nominal
2002,Top 5 percent,286900,Asian,Nominal
2022,Lowest fifth,16120,All Races,2022
2022,Second fifth,43850,All Races,2022
2022,Middle fifth,74730,All Races,2022
2022,Fourth fifth,119900,All Races,2022
2022,Highest fifth,277300,All Races,2022
2022,Top 5 percent,499900,All Races,2022
2021,Lowest fifth,16020,All Races,2022
2021,Second fifth,44240,All Races,2022
2021,Middle fifth,76430,All Races,2022
2021,Fourth fifth,124500,All Races,2022
2021,Highest fifth,290400,All Races,2022
2021,Top 5 percent,517800,All Races,2022
2020,Lowest fifth,16530,All Races,2022
2020,Second fifth,44800,All Races,2022
2020,Middle fifth,76920,All Races,2022
2020,Fourth fifth,124300,All Races,2022
2020,Highest fifth,286800,All Races,2022
2020,Top 5 percent,504500,All Races,2022
2019,Lowest fifth,17410,All Races,2022
2019,Second fifth,46300,All Races,2022
2019,Middle fifth,78520,All Races,2022
2019,Fourth fifth,126600,All Races,2022
2019,Highest fifth,289800,All Races,2022
2019,Top 5 percent,513800,All Races,2022
2018,Lowest fifth,15920,All Races,2022
2018,Second fifth,43110,All Races,2022
2018,Middle fifth,73480,All Races,2022
2018,Fourth fifth,117400,All Races,2022
2018,Highest fifth,270300,All Races,2022
2018,Top 5 percent,481400,All Races,2022
2017,Lowest fifth,15675,All Races,2022
2017,Second fifth,41800,All Races,2022
2017,Middle fifth,72465,All Races,2022
2017,Fourth fifth,116800,All Races,2022
2017,Highest fifth,265800,All Races,2022
2017,Top 5 percent,466700,All Races,2022
2016,Lowest fifth,15530,All Races,2022
2016,Second fifth,41400,All Races,2022
2016,Middle fifth,70970,All Races,2022
2016,Fourth fifth,114200,All Races,2022
2016,Highest fifth,256700,All Races,2022
2016,Top 5 percent,450100,All Races,2022
2015,Lowest fifth,15080,All Races,2022
2015,Second fifth,39500,All Races,2022
2015,Middle fifth,68790,All Races,2022
2015,Fourth fifth,111400,All Races,2022
2015,Highest fifth,245000,All Races,2022
2015,Top 5 percent,424700,All Races,2022
2014,Lowest fifth,14120,All Races,2022
2014,Second fifth,37600,All Races,2022
2014,Middle fifth,65370,All Races,2022
2014,Fourth fifth,106200,All Races,2022
2014,Highest fifth,234700,All Races,2022
2014,Top 5 percent,402000,All Races,2022
2013,Lowest fifth,14255,All Races,2022
2013,Second fifth,37615,All Races,2022
